,mpid_hh,pid_hh,keroricego_hh,templecompany_hh,keroricecome_hh,lendmoney_hh,borrowmoney_hh,samecaste_hh,sameoccupation_hh
1,1002,1001,1,0,1,0,0,0,0
2,1002,1002,0,1,0,0,1,1,0
3,1002,1004,0,0,0,0,0,0,0
4,1002,1006,0,0,0,0,0,1,0
5,1002,1007,0,0,0,0,0,1,0
6,1002,1008,0,0,0,0,0,1,0
7,1002,1013,0,0,0,0,0,0,0
8,1002,1016,0,0,0,0,0,0,0
9,1002,1020,0,0,0,0,0,1,0
10,1002,1021,0,0,0,0,0,1,0
11,1002,1024,0,0,0,0,0,1,0
12,1002,1029,0,0,0,1,0,1,0
13,1002,1031,0,0,0,0,0,1,0
14,1002,1032,0,0,0,0,0,0,0
15,1002,1033,0,0,0,0,0,0,0
16,1002,1035,0,0,0,0,0,0,0
17,1002,1037,0,0,0,0,0,0,0
18,1002,1040,0,0,0,0,0,1,0
19,1002,1041,0,0,0,0,0,1,1
20,1002,1042,0,0,0,0,0,1,1
21,1002,1043,0,0,0,0,0,1,1
22,1002,1048,0,0,0,0,0,1,0
23,1002,1049,0,0,0,0,0,1,0
24,1002,1052,0,0,0,0,0,1,0
25,1002,1053,0,0,0,0,0,1,0
26,1002,1054,0,0,0,0,0,0,0
27,1002,1058,0,0,0,0,0,1,0
28,1002,1059,0,0,0,0,0,1,0
29,1002,1062,0,0,0,0,0,1,0
30,1002,1065,0,0,0,0,0,1,0
31,1002,1067,0,0,0,0,0,1,0
32,1002,1068,0,0,0,0,0,1,0
33,1002,1071,0,0,0,0,0,1,0
34,1002,1073,0,0,0,0,0,1,0
35,1002,1074,0,0,0,0,0,1,0
36,1002,1076,0,0,0,1,1,0,0
37,1002,1078,0,0,0,0,0,1,0
38,1002,1079,0,0,0,0,0,1,0
39,1002,1081,0,0,0,0,0,1,0
40,1002,1083,0,0,0,0,0,1,0
41,1002,1088,0,0,0,0,0,1,0
42,1002,1089,0,0,0,0,0,1,0
43,1002,1092,0,0,0,0,0,1,0
44,1002,1094,0,0,0,0,0,1,0
45,1002,1095,0,0,0,0,0,1,0
46,1002,1097,0,0,0,0,0,1,0
47,1002,1099,0,0,0,0,0,1,0
48,1002,1103,0,0,0,0,0,1,0
49,1002,1105,0,0,0,0,0,1,0
50,1002,1106,0,0,0,0,0,1,0
51,1002,1112,0,0,0,0,0,1,0
52,1002,1115,0,0,0,0,0,1,0
53,1002,1119,0,0,0,0,0,1,0
54,1002,1122,0,0,0,0,0,1,0
55,1002,1126,0,0,0,0,0,1,0
56,1002,1128,0,0,0,0,0,1,0
57,1002,1133,0,0,0,0,0,1,0
58,1002,1134,0,0,0,0,0,1,0
59,1002,1136,0,0,0,0,0,1,0
60,1002,1139,0,0,0,0,0,0,0
61,1002,1140,0,0,0,0,0,1,1
62,1002,1143,0,0,0,0,0,1,0
63,1002,1146,0,0,0,0,0,0,0
64,1002,1147,0,0,0,0,0,0,0
65,1002,1148,0,0,0,0,0,0,0
66,1002,1152,0,0,0,0,0,0,0
67,1002,1155,0,0,0,0,0,1,0
68,1002,1156,0,0,0,0,0,0,0
69,1002,1158,0,0,0,0,0,1,0
70,1002,1159,0,0,0,0,0,0,0
71,1002,1162,0,0,0,0,0,1,0
72,1002,1163,0,0,0,0,0,1,1
73,1002,1164,0,0,0,0,0,1,0
74,1002,1165,0,0,0,0,0,1,0
75,1002,1166,0,0,0,0,0,1,0
76,1002,1169,0,0,0,0,0,1,0
77,1002,1171,0,0,0,0,0,1,0
78,1002,1172,0,0,0,0,0,1,0
79,1002,1173,0,0,0,0,0,1,0
80,1002,1174,0,0,0,0,0,0,0
81,1006,1002,0,0,0,0,0,1,0
82,1006,1005,1,0,1,1,1,0,0
83,1006,1006,0,0,0,0,0,1,0
84,1006,1007,1,0,1,0,0,1,1
85,1006,1008,0,0,0,0,0,1,1
86,1006,1013,0,0,0,0,0,0,1
87,1006,1016,0,0,0,0,0,0,1
88,1006,1019,1,0,1,1,1,0,0
89,1006,1020,0,0,0,0,0,1,1
90,1006,1021,1,0,1,0,0,1,1
91,1006,1024,0,0,0,0,0,1,0
92,1006,1026,0,0,0,1,1,0,0
93,1006,1029,0,0,0,0,0,1,1
94,1006,1031,0,0,0,0,0,1,1
95,1006,1032,0,0,0,0,0,0,1
96,1006,1033,0,0,0,0,0,0,1
97,1006,1035,0,0,0,0,0,0,1
98,1006,1037,0,0,0,0,0,0,1
99,1006,1040,0,0,0,0,0,1,1
100,1006,1041,0,0,0,0,0,1,0
101,1006,1042,0,0,0,0,0,1,0
102,1006,1043,0,0,0,0,0,1,0
103,1006,1048,0,0,0,0,0,1,1
104,1006,1049,0,0,0,0,0,1,1
105,1006,1052,0,0,0,0,0,1,1
106,1006,1053,0,0,0,0,0,1,1
107,1006,1054,0,0,0,0,0,0,0
108,1006,1058,0,0,0,0,0,1,0
109,1006,1059,0,0,0,0,0,1,1
110,1006,1062,0,0,0,0,0,1,1
111,1006,1065,0,0,0,0,0,1,1
112,1006,1067,0,0,0,0,0,1,0
113,1006,1068,0,0,0,0,0,1,1
114,1006,1071,0,0,0,0,0,1,1
115,1006,1073,0,0,0,0,0,1,1
116,1006,1074,0,0,0,0,0,1,0
117,1006,1078,0,0,0,0,0,1,1
118,1006,1079,0,0,0,0,0,1,1
119,1006,1081,0,0,0,0,0,1,0
120,1006,1083,0,0,0,0,0,1,1
121,1006,1088,0,0,0,0,0,1,1
122,1006,1089,0,0,0,0,0,1,1
123,1006,1092,0,0,0,0,0,1,1
124,1006,1094,0,0,0,0,0,1,1
125,1006,1095,0,0,0,0,0,1,1
126,1006,1097,0,0,0,0,0,1,1
127,1006,1099,0,0,0,0,0,1,1
128,1006,1103,0,0,0,0,0,1,1
129,1006,1105,0,0,0,0,0,1,1
130,1006,1106,0,0,0,0,0,1,1
131,1006,1112,0,0,0,0,0,1,1
132,1006,1115,0,0,0,0,0,1,1
133,1006,1119,0,0,0,0,0,1,1
134,1006,1122,0,0,0,0,0,1,1
135,1006,1126,0,0,0,0,0,1,1
136,1006,1128,0,0,0,0,0,1,0
137,1006,1133,0,0,0,0,0,1,1
138,1006,1134,0,0,0,0,0,1,0
139,1006,1136,0,0,0,0,0,1,1
140,1006,1139,0,0,0,0,0,0,1
141,1006,1140,0,0,0,0,0,1,0
142,1006,1143,0,0,0,0,0,1,1
